team_id,league_code,team_name,short_name,tla,crest_url
64,CL,Liverpool FC,Liverpool,LIV,https://crests.football-data.org/64.png
81,CL,FC Barcelona,Barça,FCB,https://crests.football-data.org/81.png
57,CL,Arsenal FC,Arsenal,ARS,https://crests.football-data.org/57.png
108,CL,FC Internazionale Milano,Inter,INT,https://crests.football-data.org/108.png
78,CL,Club Atlético de Madrid,Atleti,ATL,https://crests.football-data.org/78.png
3,CL,Bayer 04 Leverkusen,Leverkusen,B04,https://crests.football-data.org/3.png
521,CL,Lille OSC,Lille,LIL,https://crests.football-data.org/521.png
58,CL,Aston Villa FC,Aston Villa,AVL,https://crests.football-data.org/58.png
102,CL,Atalanta BC,Atalanta,ATA,https://crests.football-data.org/102.png
4,CL,Borussia Dortmund,Dortmund,BVB,https://crests.football-data.org/4.png
86,CL,Real Madrid CF,Real Madrid,RMA,https://crests.football-data.org/86.png
5,CL,FC Bayern München,Bayern,FCB,https://crests.football-data.org/5.png
98,CL,AC Milan,Milan,MIL,https://crests.football-data.org/98.png
674,CL,PSV,PSV,PSV,https://crests.football-data.org/674.png
524,CL,Paris Saint-Germain FC,PSG,PSG,https://crests.football-data.org/524.png
1903,CL,Sport Lisboa e Benfica,SL Benfica,BEN,https://crests.football-data.org/1903.png
548,CL,AS Monaco FC,Monaco,ASM,https://crests.football-data.org/548.png
512,CL,Stade Brestois 29,Brest,BRE,https://crests.football-data.org/512.png
675,CL,Feyenoord Rotterdam,Feyenoord,FEY,https://crests.football-data.org/675.png
109,CL,Juventus FC,Juventus,JUV,https://crests.football-data.org/109.png
732,CL,Celtic FC,Celtic,CEL,https://crests.football-data.org/732.png
65,CL,Manchester City FC,Man City,MCI,https://crests.football-data.org/65.png
498,CL,Sporting Clube de Portugal,Sporting CP,SPO,https://crests.football-data.org/498.png
851,CL,Club Brugge KV,Club Brugge,CLU,https://crests.football-data.org/851.png
755,CL,GNK Dinamo Zagreb,Dinamo Zagreb,DIN,https://crests.football-data.org/755.png
10,CL,VfB Stuttgart,Stuttgart,VFB,https://crests.football-data.org/10.png
1887,CL,FK Shakhtar Donetsk,Shaktar,SHD,https://crests.football-data.org/1887.png
103,CL,Bologna FC 1909,Bologna,BOL,https://crests.football-data.org/103.png
7283,CL,FK Crvena Zvezda,Crvena Zvedza,CRV,https://crests.football-data.org/7283.png
2021,CL,SK Sturm Graz,Sturm Graz,STU,https://crests.football-data.org/2021.png
907,CL,AC Sparta Praha,Sparta Praha,SPP,https://crests.football-data.org/907.png
721,CL,RB Leipzig,RB Leipzig,RBL,https://crests.football-data.org/721.png
298,CL,Girona FC,Girona,GIR,https://crests.football-data.org/298.png
1877,CL,FC Red Bull Salzburg,RB Salzburg,RBS,https://crests.football-data.org/1877.png
7509,CL,ŠK Slovan Bratislava,Sl. Bratislava,SBA,https://crests.football-data.org/7509.png
1871,CL,BSC Young Boys,Young Boys,YOB,https://crests.football-data.org/1871.png
5,BL1,FC Bayern München,Bayern,FCB,https://crests.football-data.org/5.png
3,BL1,Bayer 04 Leverkusen,Leverkusen,B04,https://crests.football-data.org/3.png
19,BL1,Eintracht Frankfurt,Frankfurt,SGE,https://crests.football-data.org/19.png
10,BL1,VfB Stuttgart,Stuttgart,VFB,https://crests.football-data.org/10.png
721,BL1,RB Leipzig,RB Leipzig,RBL,https://crests.football-data.org/721.png
15,BL1,1. FSV Mainz 05,Mainz,M05,https://crests.football-data.org/15.png
17,BL1,SC Freiburg,Freiburg,SCF,https://crests.football-data.org/17.png
11,BL1,VfL Wolfsburg,Wolfsburg,WOB,https://crests.football-data.org/11.png
4,BL1,Borussia Dortmund,Dortmund,BVB,https://crests.football-data.org/4.png
18,BL1,Borussia Mönchengladbach,M'gladbach,BMG,https://crests.football-data.org/18.png
12,BL1,SV Werder Bremen,Bremen,SVW,https://crests.football-data.org/12.png
16,BL1,FC Augsburg,Augsburg,FCA,https://crests.football-data.org/16.png
28,BL1,1. FC Union Berlin,Union Berlin,UNB,https://crests.football-data.org/28.png
20,BL1,FC St. Pauli 1910,St. Pauli,STP,https://crests.football-data.org/20.png
2,BL1,TSG 1899 Hoffenheim,Hoffenheim,TSG,https://crests.football-data.org/2.png
44,BL1,1. FC Heidenheim 1846,Heidenheim,HEI,https://crests.football-data.org/44.png
720,BL1,Holstein Kiel,Holstein Kiel,KSV,https://crests.football-data.org/720.png
36,BL1,VfL Bochum 1848,Bochum,BOC,https://crests.football-data.org/36.png
113,SA,SSC Napoli,Napoli,NAP,https://crests.football-data.org/113.png
108,SA,FC Internazionale Milano,Inter,INT,https://crests.football-data.org/108.png
102,SA,Atalanta BC,Atalanta,ATA,https://crests.football-data.org/102.png
109,SA,Juventus FC,Juventus,JUV,https://crests.football-data.org/109.png
99,SA,ACF Fiorentina,Fiorentina,FIO,https://crests.football-data.org/99.png
110,SA,SS Lazio,Lazio,LAZ,https://crests.football-data.org/110.png
103,SA,Bologna FC 1909,Bologna,BOL,https://crests.football-data.org/103.png
98,SA,AC Milan,Milan,MIL,https://crests.football-data.org/98.png
100,SA,AS Roma,Roma,ROM,https://crests.football-data.org/100.png
115,SA,Udinese Calcio,Udinese,UDI,https://crests.football-data.org/115.png
586,SA,Torino FC,Torino,TOR,https://crests.football-data.org/586.png
107,SA,Genoa CFC,Genoa,GEN,https://crests.football-data.org/107.png
5890,SA,US Lecce,Lecce,USL,https://crests.football-data.org/5890.png
450,SA,Hellas Verona FC,Verona,HVE,https://crests.football-data.org/450.png
7397,SA,Como 1907,Como 1907,COM,https://crests.football-data.org/7397.png
445,SA,Empoli FC,Empoli,EMP,https://crests.football-data.org/445.png
104,SA,Cagliari Calcio,Cagliari,CAG,https://crests.football-data.org/104.png
112,SA,Parma Calcio 1913,Parma,PAR,https://crests.football-data.org/112.png
454,SA,Venezia FC,Venezia FC,VEN,https://crests.football-data.org/454.png
5911,SA,AC Monza,Monza,MON,https://crests.football-data.org/5911.png
64,PL,Liverpool FC,Liverpool,LIV,https://crests.football-data.org/64.png
57,PL,Arsenal FC,Arsenal,ARS,https://crests.football-data.org/57.png
351,PL,Nottingham Forest FC,Nottingham,NOT,https://crests.football-data.org/351.png
61,PL,Chelsea FC,Chelsea,CHE,https://crests.football-data.org/61.png
65,PL,Manchester City FC,Man City,MCI,https://crests.football-data.org/65.png
67,PL,Newcastle United FC,Newcastle,NEW,https://crests.football-data.org/67.png
1044,PL,AFC Bournemouth,Bournemouth,BOU,https://crests.football-data.org/bournemouth.png
58,PL,Aston Villa FC,Aston Villa,AVL,https://crests.football-data.org/58.png
63,PL,Fulham FC,Fulham,FUL,https://crests.football-data.org/63.png
397,PL,Brighton & Hove Albion FC,Brighton Hove,BHA,https://crests.football-data.org/397.png
402,PL,Brentford FC,Brentford,BRE,https://crests.football-data.org/402.png
354,PL,Crystal Palace FC,Crystal Palace,CRY,https://crests.football-data.org/354.png
66,PL,Manchester United FC,Man United,MUN,https://crests.football-data.org/66.png
73,PL,Tottenham Hotspur FC,Tottenham,TOT,https://crests.football-data.org/73.png
563,PL,West Ham United FC,West Ham,WHU,https://crests.football-data.org/563.png
62,PL,Everton FC,Everton,EVE,https://crests.football-data.org/62.png
76,PL,Wolverhampton Wanderers FC,Wolverhampton,WOL,https://crests.football-data.org/76.png
338,PL,Leicester City FC,Leicester City,LEI,https://crests.football-data.org/338.png
349,PL,Ipswich Town FC,Ipswich Town,IPS,https://crests.football-data.org/349.png
340,PL,Southampton FC,Southampton,SOU,https://crests.football-data.org/340.png
86,PD,Real Madrid CF,Real Madrid,RMA,https://crests.football-data.org/86.png
78,PD,Club Atlético de Madrid,Atleti,ATL,https://crests.football-data.org/78.png
81,PD,FC Barcelona,Barça,FCB,https://crests.football-data.org/81.png
77,PD,Athletic Club,Athletic,ATH,https://crests.football-data.org/77.png
94,PD,Villarreal CF,Villarreal,VIL,https://crests.football-data.org/94.png
87,PD,Rayo Vallecano de Madrid,Rayo Vallecano,RAY,https://crests.football-data.org/87.png
298,PD,Girona FC,Girona,GIR,https://crests.football-data.org/298.png
90,PD,Real Betis Balompié,Real Betis,BET,https://crests.football-data.org/90.png
79,PD,CA Osasuna,Osasuna,OSA,https://crests.football-data.org/79.png
89,PD,RCD Mallorca,Mallorca,MAL,https://crests.football-data.org/89.png
92,PD,Real Sociedad de Fútbol,Real Sociedad,RSO,https://crests.football-data.org/92.png
559,PD,Sevilla FC,Sevilla FC,SEV,https://crests.football-data.org/559.png
558,PD,RC Celta de Vigo,Celta,CEL,https://crests.football-data.org/558.png
82,PD,Getafe CF,Getafe,GET,https://crests.football-data.org/82.png
275,PD,UD Las Palmas,Las Palmas,LPA,https://crests.football-data.org/275.png
745,PD,CD Leganés,Leganés,LEG,https://crests.football-data.org/745.png
80,PD,RCD Espanyol de Barcelona,Espanyol,ESP,https://crests.football-data.org/80.png
263,PD,Deportivo Alavés,Alavés,ALA,https://crests.football-data.org/263.png
95,PD,Valencia CF,Valencia,VAL,https://crests.football-data.org/95.png
250,PD,Real Valladolid CF,Valladolid,VDD,https://crests.football-data.org/250.png
